TRACK_ID,DANCEABILITY,VALENCE,ENERGY,TEMPO,STREAMS,YEAR
2JvzF1RMd7lE3KmFlsyZD8,0.837,0.463,0.364,123.984,510789619,2019
2QpGZOhTCHHiKmpSO9FW4h,0.529,0.434,0.9,180.291,88681073,2019
2RttW7RAu5nOAfq6YFvApB,0.522,0.236,0.385,89.792,476641105,2017
2SAqBLGA283SUiwJ3xOUVI,0.761,0.522,0.518,133.976,509862535,2020
2TIlqbIneP0ZY1O0EzYLlc,0.501,0.446,0.405,109.891,169329273,2018
2U5WueTLIK5WJLD7mvDODv,0.65,0.08,0.613,149.972,341196745,2020
2VxeLyX666F8uXCJ0dZF8B,0.572,0.323,0.385,95.799,1726357738,2018
2Y0wPrPQBrGhoLn14xRYCG,0.625,0.535,0.814,144.991,374847895,2020
2ZRo7axmMPeSVUvDbGkJah,0.592,0.225,0.457,146.04,201317070,2018
2aPTvyE09vUCRwVvj0I8WK,0.721,0.743,0.707,125.005,4527255,2018
2b8fOow8UzyDFAE27YhOZM,0.764,0.575,0.32,91.019,1172704805,2019
2bjwRfXMk4uRgOD9IBYl9h,0.925,0.35,0.443,136.078,175934137,2017
2dfHh7ECGxfNqZTQno09Vk,0.604,0.181,0.366,105.177,51016701,2017
2dpaYNEQHiRxtZbfNsse99,0.687,0.671,0.792,100.015,1317354189,2018
2ekn2ttSfGqwhhate0LSR0,0.762,0.608,0.7,116.073,963701105,2017
2gMXnyrvIjhVBUZwvLZDMP,0.459,0.183,0.575,111.881,1178008094,2019
2hl6q70unbviGo3g1R7uFx,0.733,0.675,0.892,95.989,36916755,2017
2hloaUoRonYssMuqLCBLTX,0.758,0.643,0.665,151.976,76027906,2019
2pJZ1v8HezrAoZ0Fhzby92,0.838,0.895,0.492,115.092,97040205,2017
2qT1uLXPVPzGgFOx4jtEuo,0.699,0.354,0.713,121.993,332325551,2018
2rbDhOo9Fh61Bbu23T2qCk,0.553,0.296,0.502,129.976,248049413,2018
2x0RZdkZcD8QRI53XT4GI5,0.802,0.376,0.645,100.001,174044189,2019
343YBumqHu19cGoGARUTsd,0.928,0.613,0.481,134.007,324163053,2017
35QZaWQRkmnAVqBF1TLCxQ,0.68,0.858,0.852,101.993,52878276,2017
35mvY5S1H3J2QZyna3TFe0,0.737,0.682,0.802,144.015,876789765,2020
36orMWv2PgvnzXsd5CJ0yL,0.59,0.651,0.642,107.356,122598656,2019
39LLxExYz6ewLAcYrzQQyP,0.695,0.914,0.884,103.014,270872603,2020
39LmTF9RgyakzSYX8txrow,0.729,0.371,0.475,62.52,67419568,2019
3AzjcOeAmA57TIOr9zF1ZW,0.647,0.746,0.844,146.967,234554378,2020
3CA9pLiwRIGtUBiMjbZmRw,0.585,0.758,0.909,93.372,188716156,2018
3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.552,0.633,96.924,388645595,2018
3HVWdVOQ0ZA45FuZGSfvns,0.798,0.842,0.675,101.956,373306837,2019
3Lfiu5sZ4M4B6JaKMBc0FU,0.747,0.682,0.76,99.975,69169440,2017
3NbTQ8ZbHU6MSEVUFAVCJ9,0.597,0.055,0.524,92.568,7427563,2018
3Ol2xnObFdKV9pmRD2t9x8,0.791,0.536,0.587,96.057,264095621,2018
3PfIrDoz19wz7qK7tYeu62,0.793,0.679,0.793,123.95,1462128533,2020
3Q4gttWQ6hxqWOa3tHoTNi,0.458,0.316,0.452,86.318,9284383,2020
3UoULw70kMsiVXxW0L3A33,0.487,0.173,0.534,131.798,142167228,2020
3V8UKqhEK5zBkBb6d6ub8i,0.903,0.442,0.675,96.507,580565818,2018
3Z8FwOEN59mRMxDCtb8N0A,0.63,0.452,0.633,93.995,275592897,2020
3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.412,0.653,106.966,593025420,2019
3ebXMykcMXOcLeJ9xZ17XH,0.584,0.195,0.54,137.972,493933128,2017
3ee8Jmje8o58CHK66QrVC2,0.74,0.473,0.613,75.023,1496693200,2018
3eekarcy7kvN4yt5ZFzltW,0.598,0.06,0.427,76.469,946141341,2019
3ko9jEHNt4O5fjKN65ULJp,0.499,0.599,0.462,127.698,18251360,2020
3kwgqoBqTwoAH4nT29TYrq,0.486,0.154,0.567,93.68,55146187,2020
3nc420PXjTdBV5TN0gCFkS,0.506,0.221,0.693,139.912,236309833,2018
3ojTJaonfkL96iIWa47SU3,0.614,0.565,0.598,105.803,37488347,2017
3qN5qMTKyEEmiTZD38BNTT,0.899,0.492,0.586,150.002,54773468,2018
3s4mrPrEFFPF0LmAfutW0n,0.784,0.206,0.517,97.991,171923709,2019
3szf2z1Cy1QMrtHrbn8rz9,0.758,0.054,0.474,76.061,8669084,2018
3u1S1OmAUhx5DRlLrXqyp3,0.69,0.669,0.784,106.066,300252108,2018
3wFLWP0FcIqHK1wb1CPthQ,0.45,0.427,0.619,83.3,54328816,2019
47EiUVwUp4C9fGccaPuUCS,0.731,0.145,0.573,109.928,187932142,2020
48QmG1dfvMuYLxMPt7KSRA,0.742,0.463,0.882,102.04,122373033,2018
4BHzQ9C00ceJxfG16AlNWb,0.69,0.562,0.524,164.023,43345646,2016
4HBZA5flZLE435QTztThqH,0.597,0.537,0.45,178.765,504035633,2020
4HDCLYli2SUdkq9OjmvhSD,0.43,0.731,0.7,158.373,97145552,2020
4KW1lqgSr8TKrvBII0Brf8,0.724,0.438,0.573,113.088,146426168,2016
4Km5HrUvYTaSUfiSGPJeQR,0.926,0.168,0.666,127.079,373507156,2017
4OafepJy2teCjYJbvFE60J,0.568,0.364,0.656,100.049,268508104,2018
4Of7rzpRpV1mWRbhp5rAqG,0.736,0.361,0.308,111.202,330784404,2019
4QtiVmuA88tPQiCOHZuQ5b,0.792,0.794,0.895,94.968,270370249,2018
4S2uhQE8L9V6p7rj7SiauJ,0.655,0.273,0.441,139.957,69338127,2020
