track_id,track_name,track_popularity,track_duration_ms,artist_name,artist_popularity,artist_followers,artist_genres,album_name,release_year
3S2aU4rUZXbVOxyVzgzXQ5,شيراتون,44,214000,Marwan Moussa,61.0,2650667.0,"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat",شيراتون,2020
6BJbOXDlgVAXSaq6wYFYT2,NC-17,62,156885,Travis Scott,89.0,41119579.0,rap,ASTROWORLD,2018
5QeTlx6Y4Io0GGSIZ7MSvy,Whiteout,34,282440,Warpaint,44.0,512699.0,dream pop,Heads Up,2016
3NbTQ8ZbHU6MSEVUFAVCJ9,better off,65,171333,Ariana Grande,90.0,107389514.0,pop,Sweetener,2018
47JVgLUOFUp4iZ60wR5nv2,Shades of Blue,31,234986,Kelsey Lu,40.0,149033.0,"alternative r&b, art pop",Shades of Blue,2018
0mO6oS60RST2sWmN2FKknP,One More Hour,73,432560,Tame Impala,85.0,9517000.0,"neo-psychedelic, indie",The Slow Rush,2020
0nUftNWYvNCWnjiyeujCR8,MIC Drop,57,238193,BTS,85.0,81189603.0,k-pop,Love Yourself 結 'Answer',2018
5Ed7pmWTQvNYtKpEPi6HiM,LAST FOUR WORDS,0,97500,BEXEY,46.0,194007.0,emo rap,"BLOOD, MAGIC & DIAMONDS.",2020
5QHnugYt2n8sLiKfAADwJ5,Sick Of You,57,165000,DNMO,51.0,63363.0,drum and bass,Definition Forbidden,2019
7JVUZYDnD965mTMgMzWcQZ,Memories,21,154693,Jóhann Jóhannsson,60.0,313511.0,neoclassical,Mandy (Original Motion Picture Soundtrack),2018
1rLkzFZdokhx6Wcs80uvnw,Dimple,61,196776,BTS,85.0,81189603.0,k-pop,Love Yourself 結 'Answer',2018
1i4oNDGl8ur1kHZsHQ3XQ1,Daddy,21,219133,Lafawndah,16.0,21333.0,art pop,Ancestor Boy,2019
2sSgZkaAOIfkzNDhndiLvZ,The Weekend,40,188373,Brantley Gilbert,63.0,3029394.0,"country, country rock, country hip hop, acoustic country",The Devil Don't Sleep (Deluxe / Big Machine Radio Release Special),2017
3s4mrPrEFFPF0LmAfutW0n,The London (feat. J. Cole & Travis Scott),70,200186,Young Thug,84.0,12418681.0,"rap, melodic rap, trap",So Much Fun,2019
5wPyd3IQAZft1vmxoIqGrU,Home (KOD),62,162133,Playboi Carti,86.0,15026799.0,rage rap,Die Lit,2018
